m,k,n,latency_us,mfu
8,2048,6144,8.988,0.011
16,2048,6144,8.816,0.023
32,2048,6144,8.907,0.046
64,2048,6144,8.716,0.093
128,2048,6144,9.953,0.164
256,2048,6144,11.382,0.286
512,2048,6144,15.673,0.415
1024,2048,6144,25.754,0.506
4096,2048,6144,89.933,0.579
8192,2048,6144,173.366,0.601
16384,2048,6144,336.107,0.62
32768,2048,6144,663.373,0.628
65536,2048,6144,1324.0,0.629
131072,2048,6144,2675.0,0.623
8,2048,11008,13.582,0.013
16,2048,11008,13.631,0.027
32,2048,11008,13.274,0.055
64,2048,11008,13.888,0.105
128,2048,11008,14.909,0.196
256,2048,11008,16.887,0.345
512,2048,11008,26.81,0.435
1024,2048,11008,49.155,0.475
4096,2048,11008,161.585,0.578
8192,2048,11008,299.642,0.623
16384,2048,11008,594.961,0.627
32768,2048,11008,1188.0,0.628
65536,2048,11008,2380.0,0.627
131072,2048,11008,4917.0,0.607
8,3584,6144,13.93,0.013
16,3584,6144,13.981,0.025
32,3584,6144,13.868,0.051
64,3584,6144,13.659,0.104
128,3584,6144,16.35,0.174
256,3584,6144,17.878,0.319
512,3584,6144,24.159,0.472
1024,3584,6144,39.545,0.576
4096,3584,6144,148.725,0.613
8192,3584,6144,289.561,0.63
16384,3584,6144,572.342,0.637
32768,3584,6144,1135.0,0.642
65536,3584,6144,2278.0,0.64
131072,3584,6144,4621.0,0.631
8,3584,11008,21.419,0.015
16,3584,11008,21.489,0.03
32,3584,11008,21.564,0.059
64,3584,11008,21.848,0.117
128,3584,11008,23.381,0.218
256,3584,11008,26.164,0.39
512,3584,11008,41.024,0.498
1024,3584,11008,78.338,0.521
4096,3584,11008,266.401,0.613
8192,3584,11008,510.357,0.64
16384,3584,11008,1022.0,0.639
32768,3584,11008,2055.0,0.636
65536,3584,11008,4194.0,0.623
131072,3584,11008,8675.0,0.602
8,4096,6144,15.127,0.013
16,4096,6144,15.358,0.026
32,4096,6144,15.158,0.054
64,4096,6144,15.136,0.108
128,4096,6144,18.455,0.176
256,4096,6144,20.128,0.323
512,4096,6144,26.295,0.495
1024,4096,6144,43.951,0.593
4096,4096,6144,167.988,0.62
8192,4096,6144,326.174,0.639
16384,4096,6144,649.735,0.641
32768,4096,6144,1288.0,0.647
65536,4096,6144,2593.0,0.643
131072,4096,6144,5376.0,0.62
8,4096,11008,23.587,0.015
16,4096,11008,24.237,0.03
32,4096,11008,24.197,0.06
64,4096,11008,24.378,0.12
128,4096,11008,25.56,0.228
256,4096,11008,28.373,0.411
512,4096,11008,44.788,0.521
1024,4096,11008,86.936,0.537
4096,4096,11008,300.166,0.622
8192,4096,11008,578.224,0.646
16384,4096,11008,1153.0,0.648
32768,4096,11008,2313.0,0.646
65536,4096,11008,4735.0,0.631
131072,4096,11008,10520.0,0.568
8,8192,6144,26.389,0.015
16,8192,6144,27.1,0.03
32,8192,6144,27.016,0.06
64,8192,6144,26.447,0.123
128,8192,6144,33.027,0.197
256,8192,6144,35.464,0.367
512,8192,6144,44.55,0.585
1024,8192,6144,84.808,0.614
4096,8192,6144,321.058,0.649
8192,8192,6144,641.031,0.65
16384,8192,6144,1291.0,0.646
32768,8192,6144,2573.0,0.648
65536,8192,6144,5367.0,0.621
131072,8192,6144,11429.0,0.583
8,8192,11008,42.341,0.017
16,8192,11008,42.037,0.035
32,8192,11008,42.16,0.069
64,8192,11008,42.3,0.138
128,8192,11008,44.039,0.265
256,8192,11008,48.215,0.484
512,8192,11008,84.391,0.553
1024,8192,11008,162.153,0.576
4096,8192,11008,589.192,0.634
8192,8192,11008,1149.0,0.65
16384,8192,11008,2319.0,0.644
32768,8192,11008,4784.0,0.624
65536,8192,11008,10478.0,0.57
131072,8192,11008,21424.0,0.558
