dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,37.755,0.001
bf16,bf16,1,4096,38.496,0.002
bf16,bf16,1,8192,65.336,0.003
bf16,bf16,1,16384,117.903,0.003
bf16,bf16,1,32768,224.805,0.003
bf16,bf16,1,65536,440.237,0.003
bf16,bf16,1,131072,869.651,0.003
bf16,bf16,16,1024,132.53,0.003
bf16,bf16,16,4096,435.141,0.003
bf16,bf16,16,8192,862.819,0.003
bf16,bf16,16,16384,1710.702,0.003
bf16,bf16,16,32768,3432.81,0.003
bf16,bf16,16,65536,6856.54,0.003
bf16,bf16,16,131072,13730.755,0.003
bf16,bf16,32,1024,249.284,0.003
bf16,bf16,32,4096,960.634,0.003
bf16,bf16,32,8192,1907.399,0.003
bf16,bf16,32,16384,3806.16,0.003
bf16,bf16,32,32768,7600.105,0.003
bf16,bf16,32,65536,14174.766,0.003
bf16,bf16,64,1024,468.141,0.003
bf16,bf16,64,4096,1854.206,0.003
bf16,bf16,64,8192,3717.688,0.003
bf16,bf16,64,16384,7563.46,0.003
bf16,bf16,64,32768,13705.883,0.003
bf16,bf16,128,1024,861.801,0.003
bf16,bf16,128,4096,3427.809,0.003
bf16,bf16,128,8192,6881.319,0.003
bf16,bf16,128,16384,13750.557,0.003
bf16,bf16,256,1024,1729.038,0.003
bf16,bf16,256,4096,6878.617,0.003
bf16,bf16,256,8192,13798.362,0.003
bf16,bf16,512,1024,3754.729,0.003
bf16,bf16,512,4096,13757.239,0.003
