batch_type,batch_size,anchor_kv,added_kv,total_time_us,attn_flops,marginal_time_us,overestimation_ratio
heterogeneous,1,4096,0,8438,2147483648,0,1.000
heterogeneous,2,4096,64,8440,4294967296,2,0.000
heterogeneous,3,4096,64,8443,6442450944,3,0.000
heterogeneous,4,4096,64,8606,8589934592,163,0.000
heterogeneous,5,4096,64,9712,10737418240,1106,0.000
heterogeneous,6,4096,64,10775,12884901888,1063,0.000
heterogeneous,7,4096,64,11807,15032385536,1032,0.000
heterogeneous,8,4096,64,12815,17179869184,1008,0.000
heterogeneous,9,4096,64,12889,19327352832,74,0.000
heterogeneous,10,4096,64,12956,21474836480,67,0.000
heterogeneous,11,4096,64,13016,23622320128,60,0.000
heterogeneous,12,4096,64,13070,25769803776,54,0.000
heterogeneous,13,4096,64,13119,27917287424,49,0.000
heterogeneous,14,4096,64,13163,30064771072,44,0.000
heterogeneous,15,4096,64,13203,32212254720,40,0.000
heterogeneous,16,4096,64,13240,34359738368,37,0.000
homogeneous,1,0,64,8284,33554432,8284,1.000
homogeneous,2,0,64,8287,67108864,3,1.000
homogeneous,3,0,64,8289,100663296,2,1.000
homogeneous,4,0,64,8292,134217728,3,1.000
homogeneous,5,0,64,8294,167772160,2,1.000
homogeneous,6,0,64,8552,201326592,258,1.000
homogeneous,7,0,64,9430,234881024,878,1.000
homogeneous,8,0,64,10308,268435456,878,1.000
homogeneous,9,0,64,10272,301989888,-36,1.000
homogeneous,10,0,64,10243,335544320,-29,1.000
homogeneous,11,0,64,10220,369098752,-23,1.000
homogeneous,12,0,64,10201,402653184,-19,1.000
homogeneous,13,0,64,10185,436207616,-16,1.000
homogeneous,14,0,64,10171,469762048,-14,1.000
homogeneous,15,0,64,10160,503316480,-11,1.000
homogeneous,16,0,64,10149,536870912,-11,1.000
