seq_len,bucket,step_time_us,compute_only_us,memory_only_us,regime
1,512,4167,880,4167,memory-bound
2,512,4167,1760,4167,memory-bound
4,512,4167,3520,4167,memory-bound
8,512,7040,7040,4168,compute-bound
16,512,6892,6892,4168,compute-bound
32,512,6916,6916,4170,compute-bound
50,512,6928,6928,4172,compute-bound
64,512,6938,6938,4174,compute-bound
100,512,7365,7365,4177,compute-bound
128,512,7565,7565,4180,compute-bound
200,512,8104,8104,4188,compute-bound
256,512,8350,8350,4194,compute-bound
300,512,9405,9405,4198,compute-bound
384,512,11245,11245,4207,compute-bound
400,512,11573,11573,4209,compute-bound
450,512,12557,12557,4214,compute-bound
500,512,13485,13485,4220,compute-bound
511,512,13683,13683,4221,compute-bound
512,512,13701,13701,4221,compute-bound
513,1024,14065,14065,4221,compute-bound
600,1024,16256,16256,4230,compute-bound
700,1024,18717,18717,4241,compute-bound
800,1024,21120,21120,4251,compute-bound
900,1024,23468,23468,4262,compute-bound
1000,1024,25764,25764,4272,compute-bound
1023,1024,26285,26285,4275,compute-bound
1024,1024,26308,26308,4275,compute-bound
1025,2048,26672,26672,4275,compute-bound
1200,2048,31076,31076,4294,compute-bound
1500,2048,38529,38529,4325,compute-bound
1800,2048,45863,45863,4357,compute-bound
2000,2048,50687,50687,4378,compute-bound
2048,2048,51837,51837,4383,compute-bound
