seq_len,bucket,step_time_us,compute_only_us,memory_only_us,attn_flops,gemm_compute_regime,flatness_vs_512
1,512,4167,880,4167,2.68e+08,memory,0.3041
2,512,4167,1760,4167,5.37e+08,memory,0.3041
4,512,4167,3520,4167,1.07e+09,memory,0.3041
8,512,7040,7040,4168,2.15e+09,compute,0.5138
16,512,6892,6892,4168,4.29e+09,compute,0.5030
32,512,6916,6916,4170,8.59e+09,compute,0.5048
64,512,6938,6938,4174,1.72e+10,compute,0.5064
128,512,7565,7565,4180,3.44e+10,compute,0.5521
256,512,8350,8350,4194,6.87e+10,compute,0.6094
384,512,11245,11245,4207,1.03e+11,compute,0.8207
512,512,13701,13701,4221,1.37e+11,compute,1.0000
