cv_type,holdout,n_train,n_test,valid_mape,test_mape,test_mspe,test_r,experiment_id,model,workload
lomo,codellama-34b,93658.0,29094,209.19485844539568,78.87395193978455,48.270169463151404,0.9652063199230245,,,
lomo_per_exp,codellama-34b,,7441,,105.2097300884691,82.8763628834324,0.680282553527161,20260218-150304-codellama-34b-tp2-general,codellama-34b,general
lomo_per_exp,codellama-34b,,8216,,120.49361565110763,114.40796760978328,0.4130126233382751,20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen
lomo_per_exp,codellama-34b,,8443,,29.97744752472992,5.982927277734772,0.28455326070985054,20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay
lomo_per_exp,codellama-34b,,4994,,53.82819793892626,-40.608815126669555,0.8536638820371583,20260218-160939-codellama-34b-tp2-reasoning,codellama-34b,reasoning
lomo,llama-2-70b,98892.0,23860,42.70471852268053,65.46499009368196,33.12941932352358,0.9469111593627773,,,
lomo_per_exp,llama-2-70b,,5992,,60.21089125266027,38.237564612796035,0.7876640334036795,20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general
lomo_per_exp,llama-2-70b,,6679,,49.430415957970006,-11.722320037147488,0.7116241418858456,20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b,codegen
lomo_per_exp,llama-2-70b,,4448,,147.26495562730676,144.96644239879663,0.850190356838409,20260218-065057-llama-2-70b-hf-tp4-reasoning,llama-2-70b,reasoning
lomo_per_exp,llama-2-70b,,6741,,32.04728266366552,-0.7667856938644706,0.42627332191467027,20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay
lomo,llama-2-7b,75718.0,47034,36.53746377961844,9907.997922774523,9907.94562927572,0.5193991529805682,,,
lomo_per_exp,llama-2-7b,,15588,,12471.177713417605,12471.169688314147,-0.32087260562331155,20260217-155451-llama-2-7b-tp1-codegen,llama-2-7b,codegen
lomo_per_exp,llama-2-7b,,15216,,12679.95294026006,12679.95294026006,-0.23958615226044577,20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay
lomo_per_exp,llama-2-7b,,4966,,461.6877094392996,461.2946614722146,-0.01834734536159963,20260217-170634-llama-2-7b-tp1-reasoning,llama-2-7b,reasoning
lomo_per_exp,llama-2-7b,,11264,,6780.997070219344,6780.963103519637,0.08754784211606116,20260217-231439-llama-2-7b-tp1-general,llama-2-7b,general
lomo,mixtral-8x7b-v0-1,99988.0,22764,57.254560965783455,186.60323522150026,154.46538876982305,0.9050071519204304,,,
lomo_per_exp,mixtral-8x7b-v0-1,,6544,,185.44021138331362,169.6182712643831,0.33679122195602784,20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen
lomo_per_exp,mixtral-8x7b-v0-1,,5867,,359.4912005988339,352.4304477401201,0.9145109999011709,20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general
lomo_per_exp,mixtral-8x7b-v0-1,,3676,,77.54416721228404,-42.324697976606835,0.7439256557077588,20260218-135247-mixtral-8x7b-v0-1-tp2-reasoning,mixtral-8x7b-v0-1,reasoning
lomo_per_exp,mixtral-8x7b-v0-1,,6677,,95.87061115832154,74.00693360384165,0.13319948387580005,20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay
lowo,codegen,85725.0,37027,57.04342367124837,53.438983083795954,42.908542326007534,0.7366633262920301,,,
lowo_per_exp,codegen,,15588,,39.477874660762296,26.668907179253985,0.6519393670530879,20260217-155451-llama-2-7b-tp1-codegen,llama-2-7b,codegen
lowo_per_exp,codegen,,6679,,34.75844998120013,26.214368292484476,0.8573309920897672,20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b,codegen
lowo_per_exp,codegen,,6544,,20.42076582628267,4.201241224510761,0.37888213176086466,20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen
lowo_per_exp,codegen,,8216,,121.41174993185504,118.1208596879464,0.4432314643723071,20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen
lowo,general,92188.0,30564,96.6379573481209,301.62255203089563,285.954165209629,0.23593217975934722,,,
lowo_per_exp,general,,5992,,60.51593212579708,51.79810468601202,0.8414274090191475,20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general
lowo_per_exp,general,,11264,,23.117894185023815,-0.2550985561326584,0.9561898627861702,20260217-231439-llama-2-7b-tp1-general,llama-2-7b,general
lowo_per_exp,general,,5867,,1299.021627620196,1292.3922269551078,0.8946555848732286,20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general
lowo_per_exp,general,,7441,,130.952878057616,114.22350447240714,0.7009626635468378,20260218-150304-codellama-34b-tp2-general,codellama-34b,general
lowo,reasoning,104668.0,18084,103.08034075933091,53.199770490423845,-37.58273718437653,-0.4107943142561671,,,
lowo_per_exp,reasoning,,4966,,24.506385115495295,21.900694239038696,0.29508402212187007,20260217-170634-llama-2-7b-tp1-reasoning,llama-2-7b,reasoning
lowo_per_exp,reasoning,,4448,,33.68021087550757,-32.28797537176097,0.9070395338382455,20260218-065057-llama-2-70b-hf-tp4-reasoning,llama-2-70b,reasoning
lowo_per_exp,reasoning,,3676,,95.8742042624564,-90.02974985704226,0.49403263333686864,20260218-135247-mixtral-8x7b-v0-1-tp2-reasoning,mixtral-8x7b-v0-1,reasoning
lowo_per_exp,reasoning,,4994,,67.70580460997752,-62.84317018527258,0.841677031078601,20260218-160939-codellama-34b-tp2-reasoning,codellama-34b,reasoning
lowo,roleplay,85675.0,37077,87.5041671890878,30.62195001030961,11.035531614258634,0.7371615117696724,,,
lowo_per_exp,roleplay,,15216,,34.385196527383194,17.322315298051784,0.790609704470737,20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay
lowo_per_exp,roleplay,,6741,,25.549104819888914,-2.3767504364862373,0.8064197960721783,20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay
lowo_per_exp,roleplay,,6677,,31.18971919920726,15.60737976275344,0.22891570429704777,20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay
lowo_per_exp,roleplay,,8443,,27.441030378728993,6.798443219609199,0.4670353879219847,20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay
