fold,held_out,regime,mape,mspe,pearson_r,p99_error,n_test,mean_predicted,mean_actual
1,34b,decode_only,65.66795396620981,29.921391299436213,-0.029600138676432824,481.3733343097015,18623,272.3150982393114,601.4434301669978
1,34b,mixed_light,55.0477635365604,14.727342366941038,0.5044364146551542,371.02163682942967,5454,851.7794880009122,1745.7075540887422
1,34b,mixed_heavy,187.7934402624397,185.8165760079792,0.6181912965939912,316.0014383055779,23,1162.537655265652,403.0869565217391
1,34b,ALL,63.38108125174945,,,,24100,,
2,70b,decode_only,200.44346110915518,-83.0824076105446,0.8450620464344681,1733.3137245381695,14248,1067.1682170854529,1027.0079309376754
2,70b,mixed_light,189.84521354852453,171.6318061513995,0.8274063364492027,1065.1865967975557,5133,3370.1919947184933,2443.9873368400545
2,70b,ALL,197.63654687724159,,,,19381,,
3,7b,decode_only,27.76638427184141,-10.740007103569987,0.45315280932269275,74.80891685867171,13846,115.94600353040046,151.3705763397371
3,7b,mixed_light,177.3959133529564,-177.3959133529564,0.6241520336613642,618.3803876872056,1360,-92.89997590618069,275.30073529411766
3,7b,mixed_heavy,67.54378852756567,-56.55422396837716,-0.0041126213301024145,165.5812018993008,10,163.73834193463819,377.3
3,7b,ALL,41.166353619427746,,,,15216,,
4,mixtral,decode_only,61.796995452415345,58.69286063680283,0.5984650596429307,164.33664075520596,13896,492.3726402884704,308.8079303396661
4,mixtral,mixed_light,320.5894790974542,306.54035528032284,0.5690654935449316,738.4335711056032,5182,2502.65497195425,538.7230798919336
4,mixtral,mixed_heavy,473.9459128647864,472.8423922906673,0.9107429198665975,773.0455102306597,10,3078.8423390809958,498.5
4,mixtral,ALL,132.26976051018545,,,,19088,,
