blis_completed,blis_e2e_ms,blis_itl_ms,blis_ttft_ms,e2e_error,experiment,gt_e2e_ms,gt_itl_ms,gt_requests,gt_ttft_ms,itl_abs_error_ms,itl_contribution_ms,itl_error,model,status,tp,ttft_abs_error_ms,ttft_contribution_ms,ttft_error,workload
7200,810.1029270833334,3.896,6.000993749999999,0.6088576199507313,20260217-162547-llama-2-7b-tp1-roleplay,2071.1203091347243,4.059359060868952,7200,27.12883728152974,0.16335906086895235,-33.7158127052938,0.04024257485465784,llama-2-7b,ok,1,21.12784353152974,-21.12784353152974,0.778796500280324,roleplay
16800,1986.0251379761905,8.029,12.45774880952381,0.6267294708550507,20260217-202857-llama-2-70b-tp4-general,5320.605252511034,10.494583793607287,16800,103.02162049001622,2.465583793607287,-606.0506229735378,0.2349386923861795,llama-2-70b,ok,4,90.56387168049241,-90.56387168049241,0.8790763652302375,general
9000,2021.9564132222222,8.203,12.573230777777777,0.5609689893822399,20260217-203421-llama-2-70b-hf-tp4-codegen,4605.497935959306,9.188126368948637,9000,55.587112953642645,0.985126368948638,-241.31338104158064,0.10721732912575976,llama-2-70b-hf,ok,4,43.013882175864865,-43.013882175864865,0.7738103292347035,codegen
7200,2019.139944861111,8.029,12.462011111111112,0.5573586499516451,20260218-084319-llama-2-70b-tp4-roleplay,4561.57099792086,8.955773409414409,7200,54.75399409082153,0.9267734094144089,-231.62731974818146,0.10348334722718357,llama-2-70b,ok,4,42.29198297971042,-42.29198297971042,0.7723999624494949,roleplay
9000,2233.8043171111112,9.124,14.020274444444444,0.5222044176277695,20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,4675.230160187726,9.322447453593773,9000,58.854975121278486,0.19844745359377214,-48.280413283131224,0.021287055205365765,mixtral-8x7b-v0-1,ok,2,44.83470067683404,-44.83470067683404,0.7617826799594459,codegen
16800,2252.9115162499997,9.124,14.051361964285714,0.5528729408408918,20260218-130541-mixtral-8x7b-v0-1-tp2-general,5038.638279881672,9.99752643690138,16800,68.93669608209858,0.8735264369013791,-214.34716498177025,0.08737425626374425,mixtral-8x7b-v0-1,ok,2,54.88533411781286,-54.88533411781286,0.7961700696019495,general
7200,2276.107851944444,9.124,14.099711388888888,0.5141425526829535,20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,4684.723604656756,9.189132032182938,7200,60.509117330139915,0.0651320321829374,-16.147433911522448,0.007087941707097755,mixtral-8x7b-v0-1,ok,2,46.40940594125102,-46.40940594125102,0.7669820349227644,roleplay
16800,1681.575774345238,6.673,10.287970535714287,0.5891110751621151,20260218-150304-codellama-34b-tp2-general,4092.5312723108796,8.127407304822974,16800,51.589844846305255,1.4544073048229738,-364.2639278168914,0.1789509557322048,codellama-34b,ok,2,41.30187431059097,-41.30187431059097,0.8005814794294523,general
9000,1674.3889986666668,6.673,10.291829,0.5502409624141864,20260218-150956-codellama-34b-tp2-codegen,3722.85792777915,7.424517183929284,9000,45.58050997627692,0.751517183929284,-187.41160178818902,0.10122101751693406,codellama-34b,ok,2,35.28868097627692,-35.28868097627692,0.774205488149287,codegen
7200,1701.860759861111,6.673,10.303453750000001,0.5362437450618638,20260218-155500-codellama-34b-tp2-roleplay,3669.7311178867753,7.19996093137098,7200,45.68358012591489,0.5269609313709802,-133.5807902735947,0.07318941538626363,codellama-34b,ok,2,35.380126375914884,-35.380126375914884,0.7744604577486874,roleplay
