blis_completed,blis_e2e_ms,blis_itl_ms,blis_ttft_ms,e2e_error,experiment,gt_e2e_ms,gt_itl_ms,gt_ttft_ms,h1_e2e_error,itl_error,model,tp,ttft_error,workload
7200,1233.7670056944446,5.856690526372458,24.994886805555556,0.4042996921748647,20260217-162547-llama-2-7b-tp1-roleplay,2071.1203091347243,4.059359060868952,27.12883728152974,0.22199363620376336,0.4427623766592272,llama-2-7b,1,0.0786598575467535,roleplay
16800,4478.982433571429,17.900756194784773,78.8891881547619,0.15818178177048658,20260217-202857-llama-2-70b-tp4-general,5320.605252511034,10.494583793607287,103.02162049001622,0.16245352199057805,0.7057137802538592,llama-2-70b,4,0.23424628947273243,general
9000,4781.042772333333,19.291590940182726,55.43038688888889,0.03811636414021359,20260217-203421-llama-2-70b-hf-tp4-codegen,4605.497935959306,9.188126368948637,55.587112953642645,0.038238609384930025,1.0996218560270181,llama-2-70b-hf,4,0.0028194676144533398,codegen
7200,4896.222219583334,19.27609111430091,78.5728625,0.07336315094405119,20260218-084319-llama-2-70b-tp4-roleplay,4561.57099792086,8.955773409414409,54.75399409082153,0.06852135581858021,1.1523647632752376,llama-2-70b,4,0.4350160897791245,roleplay
9000,3194.183331444445,12.883882721901923,59.654914777777776,0.3167858646522361,20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,4675.230160187726,9.322447453593773,58.854975121278486,0.3094911729476256,0.3820279262539827,mixtral-8x7b-v0-1,2,0.013591708344976935,codegen
16800,4364.267723452381,17.503265514718585,69.29142678571428,0.13383984302304955,20260218-130541-mixtral-8x7b-v0-1-tp2-general,5038.638279881672,9.99752643690138,68.93669608209858,0.12694513211982303,0.7507596129091632,mixtral-8x7b-v0-1,2,0.005145745644572847,general
7200,3047.7606872222223,12.057667290378276,58.44223402777778,0.34942571976014625,20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,4684.723604656756,9.189132032182938,60.509117330139915,0.341845504030822,0.3121660727203524,mixtral-8x7b-v0-1,2,0.03415821273817542,roleplay
16800,4162.975332142857,16.42900274096122,48.245538988095234,0.01721283360950366,20260218-150304-codellama-34b-tp2-general,4092.5312723108796,8.127407304822974,51.589844846305255,0.012287350579058678,1.02143218923111,codellama-34b,2,0.0648248869166648,general
9000,3556.0691071111114,14.07290961856604,46.59974322222222,0.04480128543812994,20260218-150956-codellama-34b-tp2-codegen,3722.85792777915,7.424517183929284,45.58050997627692,0.05022984980479253,0.8954646167467312,codellama-34b,2,0.022361163718347534,codegen
7200,4331.472200416666,16.89835373021804,47.86157347222222,0.18032413309642045,20260218-155500-codellama-34b-tp2-roleplay,3669.7311178867753,7.19996093137098,45.68358012591489,0.17487172984230664,1.347006308963449,codellama-34b,2,0.04767562744216326,roleplay
