experiment_id,status,total_steps,matched_steps,total_itis,model,workload,tp,matched_fraction,pearson_r,cycle_time_median_us,cycle_time_mean_us,duration_median_us,duration_mean_us,ratio_median,ratio_mean,ratio_p10,ratio_p90,decode_ratio_median,mixed_ratio_median,decode_steps,mixed_steps,large_batch_ratio_median,small_batch_ratio_median
20260217-162547-llama-2-7b-tp1-roleplay,no_matches,15216,0,3621600,llama-2-7b,roleplay,1,,,,,,,,,,,,,,,,
20260217-202857-llama-2-70b-tp4-general,ok,5992,2063,8349394,llama-2-70b,general,4,0.34429238985313754,-0.3247047311753012,9950.222500265227,8027.781853098508,6288.0,6593.321861366941,1.3066636828346454,1.562216889151183,0.004249150249741663,4.279989719045144,1.4302986055329971,1.138001486979463,913.0,1150.0,1.3066636828346454,0.0
20260217-203421-llama-2-70b-hf-tp4-codegen,ok,6679,631,4454840,llama-2-70b-hf,codegen,4,0.09447522084144333,-0.36363947291532656,9389.452998220804,10315.57235179674,3414.0,3694.473851030111,2.7053827950139273,3.222724734926979,0.00834150611068463,6.8665142089719335,2.7555396514019916,2.5712356259036095,410.0,221.0,2.7053827950139273,0.0
20260218-084319-llama-2-70b-tp4-roleplay,no_matches,6741,0,3621492,llama-2-70b,roleplay,4,,,,,,,,,,,,,,,,
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,no_matches,6544,0,4454856,mixtral-8x7b-v0-1,codegen,2,,,,,,,,,,,,,,,,
20260218-130541-mixtral-8x7b-v0-1-tp2-general,no_matches,5867,0,8347528,mixtral-8x7b-v0-1,general,2,,,,,,,,,,,,,,,,
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,no_matches,6677,0,3621226,mixtral-8x7b-v0-1,roleplay,2,,,,,,,,,,,,,,,,
20260218-150304-codellama-34b-tp2-general,ok,7441,1186,8348562,codellama-34b,general,2,0.15938717914258838,-0.07855582541727157,7148.652104660869,5745.018113280441,6132.0,6577.790050590219,0.9028907147693133,2.9348580323204967,0.004233018702758406,3.130985676761399,0.9789645054758196,0.8669150735273866,608.0,578.0,0.8865730490009168,30.33379389965253
20260218-150956-codellama-34b-tp2-codegen,no_matches,8216,0,4454818,codellama-34b,codegen,2,,,,,,,,,,,,,,,,
20260218-155500-codellama-34b-tp2-roleplay,no_matches,8443,0,3621310,codellama-34b,roleplay,2,,,,,,,,,,,,,,,,
