blis_completed,blis_e2e_ms,blis_itl_ms,blis_ttft_ms,e2e_error,experiment,gt_e2e_ms,gt_itl_ms,gt_requests,gt_ttft_ms,itl_error,model,status,tp,ttft_error,workload
172,17298.392104651164,43.09113170701908,6462.692246153846,7.352190854561275,20260217-162547-llama-2-7b-tp1-roleplay,2071.1203091347243,4.059359060868952,7200,27.12883728152974,9.615255034324294,llama-2-7b,ok,1,237.22223485242665,roleplay
16226,524917.7612763466,39.83344358789955,518952.421020181,97.65752792478152,20260217-202857-llama-2-70b-tp4-general,5320.605252511034,10.494583793607287,16800,103.02162049001622,2.795619185218556,llama-2-70b,ok,4,5036.315648422289,general
9000,257160.49208933333,41.150138755285646,246996.40781677776,54.83771736850596,20260217-203421-llama-2-70b-hf-tp4-codegen,4605.497935959306,9.188126368948637,9000,55.587112953642645,3.4786213318041574,llama-2-70b-hf,ok,4,4442.411335695066,codegen
7200,211840.83730583335,45.13236851427622,200512.61280875,45.44032448522435,20260218-084319-llama-2-70b-tp4-roleplay,4561.57099792086,8.955773409414409,7200,54.75399409082153,4.0394719083482595,llama-2-70b,ok,4,3661.06367477331,roleplay
9000,3347.053550888889,11.924912240215924,401.6002275555556,0.2840879622588477,20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,4675.230160187726,9.322447453593773,9000,58.854975121278486,0.27916111081097167,mixtral-8x7b-v0-1,ok,2,5.823556151846213,codegen
16800,88255.21540988096,12.478491889160907,85160.54942136904,16.51568787191319,20260218-130541-mixtral-8x7b-v0-1-tp2-general,5038.638279881672,9.99752643690138,16800,68.93669608209858,0.24815792865544792,mixtral-8x7b-v0-1,ok,2,1234.3442253737987,general
7200,3029.155347361111,11.739227995241258,82.60912055555555,0.3533972112356768,20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,4684.723604656756,9.189132032182938,7200,60.509117330139915,0.27751216917192645,mixtral-8x7b-v0-1,ok,2,0.365234268826584,roleplay
16004,524676.287860035,40.26472911913151,518722.6428706918,127.20336680378557,20260218-150304-codellama-34b-tp2-general,4092.5312723108796,8.127407304822974,16800,51.589844846305255,3.954191122578239,codellama-34b,ok,2,10053.743223517205,general
9000,261505.6843058889,41.64822617318938,251218.57244111112,69.24326186465264,20260218-150956-codellama-34b-tp2-codegen,3722.85792777915,7.424517183929284,9000,45.58050997627692,4.609553475522815,codellama-34b,ok,2,5510.534920777799,codegen
7200,215124.62783583335,45.60062646359008,203678.8705934722,57.62135969234537,20260218-155500-codellama-34b-tp2-roleplay,3669.7311178867753,7.19996093137098,7200,45.68358012591489,5.3334547087475705,codellama-34b,ok,2,4457.469980506879,roleplay
