trial,physical_lambda,loss
0,-0.000000,60.1909
1,-0.009524,60.1058
2,-0.019048,60.4624
3,-0.028571,60.4574
4,-0.038095,60.6777
5,-0.047619,60.5767
6,-0.057143,60.5574
7,-0.066667,60.6742
8,-0.076190,60.5645
9,-0.085714,60.7600
10,-0.095238,60.5287
11,-0.104762,60.7586
12,-0.114286,60.6243
13,-0.123810,60.5557
14,-0.133333,60.8761
15,-0.142857,61.1370
16,-0.152381,61.1132
17,-0.161905,61.2960
18,-0.171429,61.6809
19,-0.180952,61.0434
20,-0.190476,61.7592
21,-0.200000,62.0082
