coeff,value,loss,elapsed_s
b4,0.190983,39.254787560255835,20.111643314361572
b4,0.309017,39.13419400988388,20.081294059753418
b4,0.381966,39.07256888142909,20.35378909111023
b4,0.427051,39.10335960201877,20.077656030654907
b4,0.354102,39.08782934035575,19.85160994529724
b4,0.399187,39.062429804054176,19.916597366333008
b4,0.40983,39.020680902533925,19.98550009727478
b4,0.416408,39.10230429156658,19.999683141708374
b4,0.405765,39.04527460853654,20.130207061767578
b4,0.412343,39.080117481928454,19.775877952575684
b4,0.408277,39.028139933353074,20.134683847427368
b4,0.41079,39.02759751600671,20.27584671974182
b5,59.098301,38.78037020120565,20.265260934829712
b5,70.901699,41.26993615128019,21.059798002243042
b5,51.803399,37.515083387178194,19.435635089874268
b5,47.294902,37.63200112522023,18.070292949676514
b5,54.589803,38.057525458972094,19.517595767974854
b5,50.081306,37.32845531316025,18.9626567363739
b5,49.016994,37.431004448472756,18.5765540599823
b5,50.739087,37.38786456278695,19.088372945785522
b5,49.674775,37.28678388311528,18.74081826210022
b5,49.423525,37.448958616345024,18.538909912109375
b5,49.830056,37.30719499714877,18.86885094642639
